SOC,Skill,Importance
15-2031.00,Management of Material Resources,1.88
15-2031.00,Management of Personnel Resources,2.62
15-2041.00,Reading Comprehension,4.0
15-2041.00,Active Listening,3.88
15-2041.00,Writing,3.75
15-2041.00,Speaking,3.88
15-2041.00,Mathematics,4.88
15-2041.00,Science,3.5
15-2041.00,Critical Thinking,4.0
15-2041.00,Active Learning,3.75
15-2041.00,Learning Strategies,3.12
15-2041.00,Monitoring,3.0
15-2041.00,Social Perceptiveness,2.75
15-2041.00,Coordination,2.88
15-2041.00,Persuasion,2.5
15-2041.00,Negotiation,2.0
15-2041.00,Instructing,2.88
15-2041.00,Service Orientation,2.25
15-2041.00,Complex Problem Solving,3.88
15-2041.00,Operations Analysis,2.88
15-2041.00,Technology Design,1.62
15-2041.00,Equipment Selection,1.0
15-2041.00,Installation,1.0
15-2041.00,Programming,3.0
15-2041.00,Operations Monitoring,1.88
15-2041.00,Operation and Control,1.0
15-2041.00,Equipment Maintenance,1.0
15-2041.00,Troubleshooting,1.0
15-2041.00,Repairing,1.0
15-2041.00,Quality Control Analysis,2.0
15-2041.00,Judgment and Decision Making,3.38
15-2041.00,Systems Analysis,3.0
15-2041.00,Systems Evaluation,3.0
15-2041.00,Time Management,3.0
15-2041.00,Management of Financial Resources,1.88
15-2041.00,Management of Material Resources,1.75
15-2041.00,Management of Personnel Resources,2.25
15-2041.01,Reading Comprehension,4.0
15-2041.01,Active Listening,3.88
15-2041.01,Writing,3.88
15-2041.01,Speaking,4.0
15-2041.01,Mathematics,4.62
15-2041.01,Science,4.0
15-2041.01,Critical Thinking,4.0
15-2041.01,Active Learning,4.0
15-2041.01,Learning Strategies,3.38
15-2041.01,Monitoring,3.0
15-2041.01,Social Perceptiveness,2.88
15-2041.01,Coordination,3.0
15-2041.01,Persuasion,2.75
15-2041.01,Negotiation,2.0
15-2041.01,Instructing,3.12
15-2041.01,Service Orientation,2.75
15-2041.01,Complex Problem Solving,4.0
15-2041.01,Operations Analysis,3.0
15-2041.01,Technology Design,1.62
15-2041.01,Equipment Selection,1.5
15-2041.01,Installation,1.0
15-2041.01,Programming,3.38
15-2041.01,Operations Monitoring,1.62
15-2041.01,Operation and Control,1.12
15-2041.01,Equipment Maintenance,1.0
15-2041.01,Troubleshooting,1.0
15-2041.01,Repairing,1.0
15-2041.01,Quality Control Analysis,1.75
15-2041.01,Judgment and Decision Making,4.0
15-2041.01,Systems Analysis,3.12
15-2041.01,Systems Evaluation,3.12
15-2041.01,Time Management,3.0
15-2041.01,Management of Financial Resources,1.75
15-2041.01,Management of Material Resources,1.75
15-2041.01,Management of Personnel Resources,2.75
15-2051.01,Reading Comprehension,4.0
15-2051.01,Active Listening,3.88
15-2051.01,Writing,3.75
15-2051.01,Speaking,3.88
15-2051.01,Mathematics,3.5
15-2051.01,Science,1.62
15-2051.01,Critical Thinking,3.88
15-2051.01,Active Learning,3.88
15-2051.01,Learning Strategies,3.0
15-2051.01,Monitoring,3.12
15-2051.01,Social Perceptiveness,2.88
15-2051.01,Coordination,3.0
15-2051.01,Persuasion,2.88
15-2051.01,Negotiation,2.5
15-2051.01,Instructing,3.0
15-2051.01,Service Orientation,2.88
15-2051.01,Complex Problem Solving,3.38
15-2051.01,Operations Analysis,1.88
15-2051.01,Technology Design,1.62
15-2051.01,Equipment Selection,1.0
15-2051.01,Installation,1.0
15-2051.01,Programming,2.5
15-2051.01,Operations Monitoring,1.75
15-2051.01,Operation and Control,1.38
15-2051.01,Equipment Maintenance,1.0
15-2051.01,Troubleshooting,1.0
15-2051.01,Repairing,1.0
15-2051.01,Quality Control Analysis,2.0
15-2051.01,Judgment and Decision Making,3.62
15-2051.01,Systems Analysis,3.12
15-2051.01,Systems Evaluation,3.12
15-2051.01,Time Management,3.12
15-2051.01,Management of Financial Resources,1.88
15-2051.01,Management of Material Resources,1.75
15-2051.01,Management of Personnel Resources,2.12
15-2051.02,Reading Comprehension,3.88
15-2051.02,Active Listening,3.88
15-2051.02,Writing,3.75
15-2051.02,Speaking,3.88
15-2051.02,Mathematics,3.5
15-2051.02,Science,2.38
15-2051.02,Critical Thinking,4.0
15-2051.02,Active Learning,3.62
15-2051.02,Learning Strategies,2.88
15-2051.02,Monitoring,3.62
15-2051.02,Social Perceptiveness,3.12
15-2051.02,Coordination,3.38
15-2051.02,Persuasion,2.75
15-2051.02,Negotiation,2.5
15-2051.02,Instructing,3.0
15-2051.02,Service Orientation,2.75
15-2051.02,Complex Problem Solving,3.5
15-2051.02,Operations Analysis,2.75
15-2051.02,Technology Design,1.75
15-2051.02,Equipment Selection,1.88
15-2051.02,Installation,1.0
15-2051.02,Programming,3.25
15-2051.02,Operations Monitoring,2.12
15-2051.02,Operation and Control,1.75
15-2051.02,Equipment Maintenance,1.0
15-2051.02,Troubleshooting,1.62
15-2051.02,Repairing,1.0
15-2051.02,Quality Control Analysis,2.5
15-2051.02,Judgment and Decision Making,3.25
15-2051.02,Systems Analysis,3.25
15-2051.02,Systems Evaluation,3.12
15-2051.02,Time Management,3.38
15-2051.02,Management of Financial Resources,1.88
15-2051.02,Management of Material Resources,1.88
15-2051.02,Management of Personnel Resources,3.0
15-2099.01,Reading Comprehension,3.75
15-2099.01,Active Listening,3.5
15-2099.01,Writing,3.5
15-2099.01,Speaking,3.38
15-2099.01,Mathematics,3.38
15-2099.01,Science,3.12
15-2099.01,Critical Thinking,3.5
15-2099.01,Active Learning,3.5
15-2099.01,Learning Strategies,2.75
15-2099.01,Monitoring,3.25
15-2099.01,Social Perceptiveness,2.88
15-2099.01,Coordination,2.88
15-2099.01,Persuasion,2.75
15-2099.01,Negotiation,2.5
15-2099.01,Instructing,2.88
15-2099.01,Service Orientation,2.5
15-2099.01,Complex Problem Solving,3.5
15-2099.01,Operations Analysis,2.12
15-2099.01,Technology Design,2.12
15-2099.01,Equipment Selection,1.12
15-2099.01,Installation,1.0
15-2099.01,Programming,3.12
15-2099.01,Operations Monitoring,2.62
15-2099.01,Operation and Control,1.12
15-2099.01,Equipment Maintenance,1.12
15-2099.01,Troubleshooting,1.12
15-2099.01,Repairing,1.12
15-2099.01,Quality Control Analysis,2.25
15-2099.01,Judgment and Decision Making,3.5
15-2099.01,Systems Analysis,3.25
15-2099.01,Systems Evaluation,3.0
15-2099.01,Time Management,3.0
15-2099.01,Management of Financial Resources,1.62
15-2099.01,Management of Material Resources,1.62
15-2099.01,Management of Personnel Resources,2.62
17-1011.00,Reading Comprehension,4.0
17-1011.00,Active Listening,3.88
17-1011.00,Writing,3.88
17-1011.00,Speaking,4.0
17-1011.00,Mathematics,3.5
17-1011.00,Science,2.88
17-1011.00,Critical Thinking,4.0
17-1011.00,Active Learning,3.62
17-1011.00,Learning Strategies,3.25
17-1011.00,Monitoring,3.75
17-1011.00,Social Perceptiveness,3.25
17-1011.00,Coordination,3.5
17-1011.00,Persuasion,3.12
17-1011.00,Negotiation,3.12
17-1011.00,Instructing,3.0
17-1011.00,Service Orientation,2.88
17-1011.00,Complex Problem Solving,3.75
17-1011.00,Operations Analysis,4.0
17-1011.00,Technology Design,2.0
17-1011.00,Equipment Selection,1.25
17-1011.00,Installation,1.0
17-1011.00,Programming,1.88
17-1011.00,Operations Monitoring,2.25
17-1011.00,Operation and Control,1.88
17-1011.00,Equipment Maintenance,1.0
17-1011.00,Troubleshooting,1.88
17-1011.00,Repairing,1.0
17-1011.00,Quality Control Analysis,3.12
17-1011.00,Judgment and Decision Making,3.75
17-1011.00,Systems Analysis,3.5
17-1011.00,Systems Evaluation,3.38
17-1011.00,Time Management,3.0
17-1011.00,Management of Financial Resources,2.75
17-1011.00,Management of Material Resources,2.75
17-1011.00,Management of Personnel Resources,3.0
17-1012.00,Reading Comprehension,4.12
17-1012.00,Active Listening,4.12
17-1012.00,Writing,3.62
17-1012.00,Speaking,4.12
17-1012.00,Mathematics,3.12
17-1012.00,Science,2.75
17-1012.00,Critical Thinking,3.88
17-1012.00,Active Learning,3.5
17-1012.00,Learning Strategies,2.88
17-1012.00,Monitoring,3.12
17-1012.00,Social Perceptiveness,3.62
17-1012.00,Coordination,3.75
17-1012.00,Persuasion,3.12
17-1012.00,Negotiation,3.12
17-1012.00,Instructing,3.0
17-1012.00,Service Orientation,3.25
17-1012.00,Complex Problem Solving,3.88
17-1012.00,Operations Analysis,3.75
17-1012.00,Technology Design,1.75
17-1012.00,Equipment Selection,1.0
17-1012.00,Installation,1.0
17-1012.00,Programming,1.5
17-1012.00,Operations Monitoring,2.0
17-1012.00,Operation and Control,2.0
17-1012.00,Equipment Maintenance,1.0
17-1012.00,Troubleshooting,1.75
17-1012.00,Repairing,1.0
17-1012.00,Quality Control Analysis,2.5
17-1012.00,Judgment and Decision Making,3.75
17-1012.00,Systems Analysis,3.12
17-1012.00,Systems Evaluation,3.12
17-1012.00,Time Management,3.5
17-1012.00,Management of Financial Resources,2.88
17-1012.00,Management of Material Resources,2.88
17-1012.00,Management of Personnel Resources,3.0
17-1021.00,Reading Comprehension,4.0
17-1021.00,Active Listening,3.38
17-1021.00,Writing,3.5
17-1021.00,Speaking,3.12
17-1021.00,Mathematics,2.88
17-1021.00,Science,1.88
17-1021.00,Critical Thinking,3.5
17-1021.00,Active Learning,3.25
17-1021.00,Learning Strategies,2.88
17-1021.00,Monitoring,3.12
17-1021.00,Social Perceptiveness,3.0
17-1021.00,Coordination,3.0
17-1021.00,Persuasion,2.38
17-1021.00,Negotiation,2.38
17-1021.00,Instructing,2.75
17-1021.00,Service Orientation,2.75
17-1021.00,Complex Problem Solving,3.12
17-1021.00,Operations Analysis,1.62
17-1021.00,Technology Design,1.62
17-1021.00,Equipment Selection,1.5
17-1021.00,Installation,1.0
17-1021.00,Programming,1.88
17-1021.00,Operations Monitoring,1.88
17-1021.00,Operation and Control,1.38
17-1021.00,Equipment Maintenance,1.38
17-1021.00,Troubleshooting,1.75
17-1021.00,Repairing,1.25
17-1021.00,Quality Control Analysis,2.12
17-1021.00,Judgment and Decision Making,3.12
17-1021.00,Systems Analysis,2.88
17-1021.00,Systems Evaluation,2.75
17-1021.00,Time Management,3.0
17-1021.00,Management of Financial Resources,1.62
17-1021.00,Management of Material Resources,1.62
17-1021.00,Management of Personnel Resources,2.25
17-1022.00,Reading Comprehension,3.88
17-1022.00,Active Listening,3.5
17-1022.00,Writing,3.75
17-1022.00,Speaking,3.62
17-1022.00,Mathematics,4.0
17-1022.00,Science,2.62
17-1022.00,Critical Thinking,3.75
17-1022.00,Active Learning,3.25
17-1022.00,Learning Strategies,3.12
17-1022.00,Monitoring,3.0
17-1022.00,Social Perceptiveness,3.0
17-1022.00,Coordination,3.5
17-1022.00,Persuasion,2.5
17-1022.00,Negotiation,2.5
17-1022.00,Instructing,3.0
17-1022.00,Service Orientation,2.75
17-1022.00,Complex Problem Solving,3.12
17-1022.00,Operations Analysis,1.88
17-1022.00,Technology Design,1.62
17-1022.00,Equipment Selection,2.12
17-1022.00,Installation,1.0
17-1022.00,Programming,1.38
17-1022.00,Operations Monitoring,2.75
17-1022.00,Operation and Control,2.75
17-1022.00,Equipment Maintenance,1.88
17-1022.00,Troubleshooting,1.88
17-1022.00,Repairing,1.88
17-1022.00,Quality Control Analysis,2.5
17-1022.00,Judgment and Decision Making,3.25
17-1022.00,Systems Analysis,3.0
17-1022.00,Systems Evaluation,2.75
17-1022.00,Time Management,3.12
17-1022.00,Management of Financial Resources,1.75
17-1022.00,Management of Material Resources,1.88
17-1022.00,Management of Personnel Resources,2.88
17-1022.01,Reading Comprehension,4.0
17-1022.01,Active Listening,3.88
17-1022.01,Writing,3.62
17-1022.01,Speaking,3.38
17-1022.01,Mathematics,4.12
17-1022.01,Science,3.12
17-1022.01,Critical Thinking,3.88
17-1022.01,Active Learning,3.38
17-1022.01,Learning Strategies,3.0
17-1022.01,Monitoring,3.38
17-1022.01,Social Perceptiveness,2.75
17-1022.01,Coordination,3.0
17-1022.01,Persuasion,2.25
17-1022.01,Negotiation,2.0
17-1022.01,Instructing,3.0
17-1022.01,Service Orientation,2.75
17-1022.01,Complex Problem Solving,3.75
17-1022.01,Operations Analysis,1.88
17-1022.01,Technology Design,1.75
17-1022.01,Equipment Selection,2.0
17-1022.01,Installation,1.0
17-1022.01,Programming,2.38
17-1022.01,Operations Monitoring,2.75
17-1022.01,Operation and Control,2.75
17-1022.01,Equipment Maintenance,1.88
17-1022.01,Troubleshooting,1.88
17-1022.01,Repairing,1.88
17-1022.01,Quality Control Analysis,2.88
17-1022.01,Judgment and Decision Making,3.62
17-1022.01,Systems Analysis,3.12
17-1022.01,Systems Evaluation,3.12
17-1022.01,Time Management,2.88
17-1022.01,Management of Financial Resources,1.75
17-1022.01,Management of Material Resources,1.75
17-1022.01,Management of Personnel Resources,2.75
17-2011.00,Reading Comprehension,4.0
17-2011.00,Active Listening,3.88
17-2011.00,Writing,3.88
17-2011.00,Speaking,3.88
17-2011.00,Mathematics,3.88
17-2011.00,Science,4.0
17-2011.00,Critical Thinking,4.12
17-2011.00,Active Learning,3.62
17-2011.00,Learning Strategies,3.38
17-2011.00,Monitoring,3.75
17-2011.00,Social Perceptiveness,3.0
17-2011.00,Coordination,3.25
17-2011.00,Persuasion,3.12
17-2011.00,Negotiation,3.0
17-2011.00,Instructing,3.0
17-2011.00,Service Orientation,2.88
17-2011.00,Complex Problem Solving,3.88
17-2011.00,Operations Analysis,3.88
17-2011.00,Technology Design,3.25
17-2011.00,Equipment Selection,1.25
17-2011.00,Installation,1.0
17-2011.00,Programming,2.12
17-2011.00,Operations Monitoring,2.88
17-2011.00,Operation and Control,1.25
17-2011.00,Equipment Maintenance,1.0
17-2011.00,Troubleshooting,2.0
17-2011.00,Repairing,1.0
17-2011.00,Quality Control Analysis,3.25
17-2011.00,Judgment and Decision Making,3.75
17-2011.00,Systems Analysis,3.38
17-2011.00,Systems Evaluation,3.5
17-2011.00,Time Management,3.25
17-2011.00,Management of Financial Resources,1.88
17-2011.00,Management of Material Resources,1.75
17-2011.00,Management of Personnel Resources,2.75
17-2021.00,Reading Comprehension,4.0
17-2021.00,Active Listening,4.0
17-2021.00,Writing,4.0
17-2021.00,Speaking,4.0
17-2021.00,Mathematics,3.75
17-2021.00,Science,3.38
17-2021.00,Critical Thinking,3.88
17-2021.00,Active Learning,3.25
17-2021.00,Learning Strategies,2.88
17-2021.00,Monitoring,3.25
17-2021.00,Social Perceptiveness,3.12
17-2021.00,Coordination,3.12
17-2021.00,Persuasion,2.88
17-2021.00,Negotiation,2.75
17-2021.00,Instructing,3.0
17-2021.00,Service Orientation,2.75
17-2021.00,Complex Problem Solving,3.88
17-2021.00,Operations Analysis,3.0
17-2021.00,Technology Design,2.75
17-2021.00,Equipment Selection,1.88
17-2021.00,Installation,1.0
17-2021.00,Programming,2.0
17-2021.00,Operations Monitoring,3.12
17-2021.00,Operation and Control,2.62
17-2021.00,Equipment Maintenance,1.88
17-2021.00,Troubleshooting,2.12
17-2021.00,Repairing,1.88
17-2021.00,Quality Control Analysis,2.5
17-2021.00,Judgment and Decision Making,3.88
17-2021.00,Systems Analysis,3.75
17-2021.00,Systems Evaluation,3.88
17-2021.00,Time Management,3.0
17-2021.00,Management of Financial Resources,2.25
17-2021.00,Management of Material Resources,2.0
17-2021.00,Management of Personnel Resources,3.0
17-2031.00,Reading Comprehension,4.0
17-2031.00,Active Listening,4.0
17-2031.00,Writing,4.0
17-2031.00,Speaking,4.0
17-2031.00,Mathematics,3.88
17-2031.00,Science,3.88
17-2031.00,Critical Thinking,3.88
17-2031.00,Active Learning,3.75
17-2031.00,Learning Strategies,3.25
17-2031.00,Monitoring,3.75
17-2031.00,Social Perceptiveness,3.0
17-2031.00,Coordination,3.0
17-2031.00,Persuasion,2.75
17-2031.00,Negotiation,2.88
17-2031.00,Instructing,3.12
17-2031.00,Service Orientation,2.88
17-2031.00,Complex Problem Solving,3.88
17-2031.00,Operations Analysis,3.75
17-2031.00,Technology Design,3.38
17-2031.00,Equipment Selection,2.75
17-2031.00,Installation,2.25
17-2031.00,Programming,3.12
17-2031.00,Operations Monitoring,2.88
17-2031.00,Operation and Control,2.0
17-2031.00,Equipment Maintenance,2.12
17-2031.00,Troubleshooting,2.88
17-2031.00,Repairing,2.5
17-2031.00,Quality Control Analysis,3.12
17-2031.00,Judgment and Decision Making,3.88
17-2031.00,Systems Analysis,3.62
17-2031.00,Systems Evaluation,3.5
17-2031.00,Time Management,3.12
17-2031.00,Management of Financial Resources,2.12
17-2031.00,Management of Material Resources,2.25
17-2031.00,Management of Personnel Resources,3.0
17-2041.00,Reading Comprehension,4.0
17-2041.00,Active Listening,3.25
17-2041.00,Writing,3.12
17-2041.00,Speaking,3.5
17-2041.00,Mathematics,3.75
17-2041.00,Science,4.12
17-2041.00,Critical Thinking,4.12
17-2041.00,Active Learning,3.88
17-2041.00,Learning Strategies,2.88
17-2041.00,Monitoring,3.12
17-2041.00,Social Perceptiveness,3.0
17-2041.00,Coordination,3.0
17-2041.00,Persuasion,2.88
17-2041.00,Negotiation,2.88
17-2041.00,Instructing,3.0
17-2041.00,Service Orientation,2.75
17-2041.00,Complex Problem Solving,4.0
17-2041.00,Operations Analysis,3.62
17-2041.00,Technology Design,2.88
17-2041.00,Equipment Selection,1.88
17-2041.00,Installation,1.0
17-2041.00,Programming,2.25
17-2041.00,Operations Monitoring,3.0
17-2041.00,Operation and Control,2.0
17-2041.00,Equipment Maintenance,1.0
17-2041.00,Troubleshooting,2.88
17-2041.00,Repairing,1.0
17-2041.00,Quality Control Analysis,3.0
17-2041.00,Judgment and Decision Making,3.88
17-2041.00,Systems Analysis,3.88
17-2041.00,Systems Evaluation,3.88
17-2041.00,Time Management,3.0
17-2041.00,Management of Financial Resources,2.38
17-2041.00,Management of Material Resources,2.5
17-2041.00,Management of Personnel Resources,2.75
17-2051.00,Reading Comprehension,3.88
17-2051.00,Active Listening,4.0
17-2051.00,Writing,3.25
17-2051.00,Speaking,3.88
17-2051.00,Mathematics,3.88
17-2051.00,Science,3.75
17-2051.00,Critical Thinking,3.88
17-2051.00,Active Learning,3.25
17-2051.00,Learning Strategies,2.88
17-2051.00,Monitoring,3.25
17-2051.00,Social Perceptiveness,3.0
17-2051.00,Coordination,3.12
17-2051.00,Persuasion,3.0
17-2051.00,Negotiation,3.0
17-2051.00,Instructing,3.0
17-2051.00,Service Orientation,3.0
17-2051.00,Complex Problem Solving,3.88
17-2051.00,Operations Analysis,3.62
17-2051.00,Technology Design,2.25
17-2051.00,Equipment Selection,1.25
17-2051.00,Installation,1.0
17-2051.00,Programming,1.88
17-2051.00,Operations Monitoring,2.12
17-2051.00,Operation and Control,1.38
17-2051.00,Equipment Maintenance,1.5
17-2051.00,Troubleshooting,1.5
17-2051.00,Repairing,1.62
17-2051.00,Quality Control Analysis,2.25
17-2051.00,Judgment and Decision Making,3.38
17-2051.00,Systems Analysis,3.75
17-2051.00,Systems Evaluation,3.12
17-2051.00,Time Management,3.75
17-2051.00,Management of Financial Resources,2.88
17-2051.00,Management of Material Resources,2.88
17-2051.00,Management of Personnel Resources,3.0
17-2051.01,Reading Comprehension,4.0
17-2051.01,Active Listening,3.75
17-2051.01,Writing,4.0
17-2051.01,Speaking,4.0
17-2051.01,Mathematics,3.88
17-2051.01,Science,3.0
17-2051.01,Critical Thinking,4.0
17-2051.01,Active Learning,3.25
17-2051.01,Learning Strategies,3.12
17-2051.01,Monitoring,3.25
17-2051.01,Social Perceptiveness,2.88
17-2051.01,Coordination,3.62
17-2051.01,Persuasion,3.12
17-2051.01,Negotiation,3.12
17-2051.01,Instructing,3.0
17-2051.01,Service Orientation,3.0
17-2051.01,Complex Problem Solving,3.88
17-2051.01,Operations Analysis,3.38
17-2051.01,Technology Design,2.75
17-2051.01,Equipment Selection,1.0
17-2051.01,Installation,1.0
17-2051.01,Programming,1.88
17-2051.01,Operations Monitoring,2.0
17-2051.01,Operation and Control,2.0
17-2051.01,Equipment Maintenance,1.0
17-2051.01,Troubleshooting,2.0
17-2051.01,Repairing,1.0
17-2051.01,Quality Control Analysis,2.62
17-2051.01,Judgment and Decision Making,3.88
17-2051.01,Systems Analysis,3.75
17-2051.01,Systems Evaluation,3.75
17-2051.01,Time Management,3.88
17-2051.01,Management of Financial Resources,2.75
17-2051.01,Management of Material Resources,2.88
17-2051.01,Management of Personnel Resources,3.25
17-2051.02,Reading Comprehension,4.0
17-2051.02,Active Listening,3.88
17-2051.02,Writing,4.0
17-2051.02,Speaking,3.75
17-2051.02,Mathematics,3.88
17-2051.02,Science,3.5
17-2051.02,Critical Thinking,4.0
17-2051.02,Active Learning,3.25
17-2051.02,Learning Strategies,3.12
17-2051.02,Monitoring,3.62
17-2051.02,Social Perceptiveness,3.0
17-2051.02,Coordination,3.12
17-2051.02,Persuasion,3.0
17-2051.02,Negotiation,3.0
17-2051.02,Instructing,3.12
17-2051.02,Service Orientation,3.0
17-2051.02,Complex Problem Solving,3.88
17-2051.02,Operations Analysis,3.25
17-2051.02,Technology Design,2.88
17-2051.02,Equipment Selection,1.75
17-2051.02,Installation,1.0
17-2051.02,Programming,2.12
17-2051.02,Operations Monitoring,2.88
17-2051.02,Operation and Control,2.12
17-2051.02,Equipment Maintenance,1.0
17-2051.02,Troubleshooting,2.12
17-2051.02,Repairing,1.0
17-2051.02,Quality Control Analysis,2.62
17-2051.02,Judgment and Decision Making,4.0
17-2051.02,Systems Analysis,3.88
17-2051.02,Systems Evaluation,3.88
17-2051.02,Time Management,3.75
17-2051.02,Management of Financial Resources,2.25
17-2051.02,Management of Material Resources,2.12
17-2051.02,Management of Personnel Resources,3.25
17-2061.00,Reading Comprehension,4.0
17-2061.00,Active Listening,3.88
17-2061.00,Writing,3.88
17-2061.00,Speaking,3.88
17-2061.00,Mathematics,3.25
17-2061.00,Science,2.88
17-2061.00,Critical Thinking,4.0
17-2061.00,Active Learning,3.75
17-2061.00,Learning Strategies,2.88
17-2061.00,Monitoring,3.12
17-2061.00,Social Perceptiveness,2.75
17-2061.00,Coordination,3.12
17-2061.00,Persuasion,2.62
17-2061.00,Negotiation,2.25
17-2061.00,Instructing,3.0
17-2061.00,Service Orientation,2.62
17-2061.00,Complex Problem Solving,3.88
17-2061.00,Operations Analysis,3.38
17-2061.00,Technology Design,2.62
17-2061.00,Equipment Selection,2.5
17-2061.00,Installation,1.88
17-2061.00,Programming,2.5
17-2061.00,Operations Monitoring,3.0
17-2061.00,Operation and Control,1.75
17-2061.00,Equipment Maintenance,2.12
17-2061.00,Troubleshooting,2.62
17-2061.00,Repairing,2.12
17-2061.00,Quality Control Analysis,2.88
17-2061.00,Judgment and Decision Making,3.62
17-2061.00,Systems Analysis,3.38
17-2061.00,Systems Evaluation,3.38
17-2061.00,Time Management,3.12
17-2061.00,Management of Financial Resources,1.75
17-2061.00,Management of Material Resources,1.88
17-2061.00,Management of Personnel Resources,2.62
17-2071.00,Reading Comprehension,4.0
17-2071.00,Active Listening,3.88
17-2071.00,Writing,4.12
17-2071.00,Speaking,3.88
17-2071.00,Mathematics,3.38
17-2071.00,Science,3.0
17-2071.00,Critical Thinking,4.0
17-2071.00,Active Learning,3.88
17-2071.00,Learning Strategies,3.0
17-2071.00,Monitoring,3.5
17-2071.00,Social Perceptiveness,3.0
17-2071.00,Coordination,3.25
17-2071.00,Persuasion,2.88
17-2071.00,Negotiation,2.75
17-2071.00,Instructing,3.0
17-2071.00,Service Orientation,2.75
17-2071.00,Complex Problem Solving,3.88
17-2071.00,Operations Analysis,3.12
17-2071.00,Technology Design,2.25
17-2071.00,Equipment Selection,2.12
17-2071.00,Installation,1.0
17-2071.00,Programming,2.12
17-2071.00,Operations Monitoring,2.88
17-2071.00,Operation and Control,1.38
17-2071.00,Equipment Maintenance,2.0
17-2071.00,Troubleshooting,2.75
17-2071.00,Repairing,2.0
17-2071.00,Quality Control Analysis,3.0
17-2071.00,Judgment and Decision Making,3.25
17-2071.00,Systems Analysis,3.25
17-2071.00,Systems Evaluation,3.25
17-2071.00,Time Management,3.0
17-2071.00,Management of Financial Resources,2.38
17-2071.00,Management of Material Resources,2.25
17-2071.00,Management of Personnel Resources,3.0
17-2072.00,Reading Comprehension,4.0
17-2072.00,Active Listening,3.75
17-2072.00,Writing,3.5
17-2072.00,Speaking,3.88
17-2072.00,Mathematics,3.5
17-2072.00,Science,3.0
17-2072.00,Critical Thinking,4.0
17-2072.00,Active Learning,3.12
17-2072.00,Learning Strategies,3.0
17-2072.00,Monitoring,3.38
17-2072.00,Social Perceptiveness,2.88
17-2072.00,Coordination,3.0
17-2072.00,Persuasion,2.88
17-2072.00,Negotiation,2.75
17-2072.00,Instructing,3.0
17-2072.00,Service Orientation,2.88
17-2072.00,Complex Problem Solving,4.0
17-2072.00,Operations Analysis,3.25
17-2072.00,Technology Design,3.0
17-2072.00,Equipment Selection,2.88
17-2072.00,Installation,1.62
17-2072.00,Programming,2.75
17-2072.00,Operations Monitoring,3.0
17-2072.00,Operation and Control,2.88
17-2072.00,Equipment Maintenance,2.88
17-2072.00,Troubleshooting,3.0
17-2072.00,Repairing,2.75
17-2072.00,Quality Control Analysis,3.12
17-2072.00,Judgment and Decision Making,3.75
17-2072.00,Systems Analysis,3.75
17-2072.00,Systems Evaluation,3.38
17-2072.00,Time Management,2.75
17-2072.00,Management of Financial Resources,2.0
17-2072.00,Management of Material Resources,2.75
17-2072.00,Management of Personnel Resources,2.75
17-2072.01,Reading Comprehension,3.62
17-2072.01,Active Listening,3.75
17-2072.01,Writing,3.25
17-2072.01,Speaking,3.75
17-2072.01,Mathematics,2.62
17-2072.01,Science,2.0
17-2072.01,Critical Thinking,3.88
17-2072.01,Active Learning,3.12
17-2072.01,Learning Strategies,2.62
17-2072.01,Monitoring,3.12
17-2072.01,Social Perceptiveness,3.0
17-2072.01,Coordination,3.12
17-2072.01,Persuasion,2.88
17-2072.01,Negotiation,2.5
17-2072.01,Instructing,3.0
17-2072.01,Service Orientation,2.75
17-2072.01,Complex Problem Solving,3.38
17-2072.01,Operations Analysis,2.62
17-2072.01,Technology Design,2.5
17-2072.01,Equipment Selection,2.5
17-2072.01,Installation,2.0
17-2072.01,Programming,2.5
17-2072.01,Operations Monitoring,2.75
17-2072.01,Operation and Control,2.25
17-2072.01,Equipment Maintenance,2.0
17-2072.01,Troubleshooting,2.38
17-2072.01,Repairing,2.0
17-2072.01,Quality Control Analysis,2.75
17-2072.01,Judgment and Decision Making,3.38
17-2072.01,Systems Analysis,3.25
17-2072.01,Systems Evaluation,2.88
17-2072.01,Time Management,3.0
17-2072.01,Management of Financial Resources,1.88
17-2072.01,Management of Material Resources,1.88
17-2072.01,Management of Personnel Resources,2.75
17-2081.00,Reading Comprehension,4.0
17-2081.00,Active Listening,4.0
17-2081.00,Writing,4.0
17-2081.00,Speaking,4.0
17-2081.00,Mathematics,3.38
17-2081.00,Science,3.38
17-2081.00,Critical Thinking,4.0
17-2081.00,Active Learning,3.75
17-2081.00,Learning Strategies,3.0
17-2081.00,Monitoring,4.0
17-2081.00,Social Perceptiveness,3.0
17-2081.00,Coordination,3.75
17-2081.00,Persuasion,3.0
17-2081.00,Negotiation,3.0
17-2081.00,Instructing,3.0
17-2081.00,Service Orientation,2.88
17-2081.00,Complex Problem Solving,3.88
17-2081.00,Operations Analysis,2.5
17-2081.00,Technology Design,1.62
17-2081.00,Equipment Selection,1.0
17-2081.00,Installation,1.0
17-2081.00,Programming,1.62
17-2081.00,Operations Monitoring,2.62
17-2081.00,Operation and Control,2.0
17-2081.00,Equipment Maintenance,1.0
17-2081.00,Troubleshooting,1.62
17-2081.00,Repairing,1.0
17-2081.00,Quality Control Analysis,2.62
17-2081.00,Judgment and Decision Making,3.88
17-2081.00,Systems Analysis,3.25
17-2081.00,Systems Evaluation,3.25
